Objednavaci_Cislo;Název;Značka;Nakupni_Cena_EUR_s_DPH;Aktualni_Nakupni_Cena_EUR_s_DPH;Platnost_do;Doporucena_EUR_s_DPH;Aktualni_Doporucena_EUR_s_DPH;SkladManufacturer;Manufacturer_Adress;Manufacturer_email;Manufacturer_tel;Manufacturer_web
82509167;Europalms Bambus deluxe, 180cm;Europalms;122,9;122,9;31.08.2025;151,73;151,73;0;Steinigke Showtechnic GmbH;Andreas-Bauer-Str. 5, Waldbüttelbrunn D-97297, Německo;info@steinigke.de;+499314061600;www.steinigke.de;
M0010041;Upgrade licence MADRIX (2,3) ULTIMATE na MADRIX5 ULTIMATE;Madrix;2907,97;2907,97;;3929,69;3929,69;0;inoage GmbH;Wiener Strasse 56, 01219 Dresden, Germany;info@madrix.com;+4935186268690;www.madrix.com;
M0010039;Upgrade licence MADRIX (2,3) ENTRY na MADRIX5 ENTRY;Madrix;255,65;255,65;;345,12;345,12;0;inoage GmbH;Wiener Strasse 56, 01219 Dresden, Germany;info@madrix.com;+4935186268690;www.madrix.com;
M0010038;Upgrade licence MADRIX (2,3) START na MADRIX5 START;Madrix;77,32;77,32;;104,46;104,46;0;inoage GmbH;Wiener Strasse 56, 01219 Dresden, Germany;info@madrix.com;+4935186268690;www.madrix.com;
M0010037;MADRIX 5 upgrade licence ULTIMATE na MADRIX 5 MAXIMUM;Madrix;8624,4;8624,4;;11650,86;11650,86;0;inoage GmbH;Wiener Strasse 56, 01219 Dresden, Germany;info@madrix.com;+4935186268690;www.madrix.com;
M0010036;MADRIX 5 upgrade licence PROFESSIONAL na MADRIX 5 MAXIMUM;Madrix;12054,01;12054,01;;16283,21;16283,21;0;inoage GmbH;Wiener Strasse 56, 01219 Dresden, Germany;info@madrix.com;+4935186268690;www.madrix.com;
M0010034;Madrix rozšíření licence Madrix 5 Basic na Madrix 5 Maximum;Madrix;13426,16;13426,16;;18143,47;18143,47;0;inoage GmbH;Wiener Strasse 56, 01219 Dresden, Germany;info@madrix.com;+4935186268690;www.madrix.com;
30004045;Neotočné kolečko 70 kg;Accessory;7,36;7,36;;9,2;9,2;2;Steinigke Showtechnic GmbH;Andreas-Bauer-Str. 5, Waldbüttelbrunn D-97297, Německo;info@steinigke.de;+499314061600;www.steinigke.de;
25025835;Stagg SC-FH-BK, pouzdro pro lesní roh, černé;Stagg;87,73;87,73;;118,57;118,57;1;European Music Distribution;Chaussée de Wavre 1110 - A4/B3, 1160 Brussels, Belgie;info@emdmusic.com;+32 2 745 09 70;www.emdmusic.com;
E3125430;Motor krokový 17HS0019-06K;;29,51;29,51;;36,89;36,89;1;Steinigke Showtechnic GmbH;Andreas-Bauer-Str. 5, Waldbüttelbrunn D-97297, Německo;info@steinigke.de;+499314061600;www.steinigke.de;
